fighter,final_rating
Jon Jones,2097.364569037344
Georges St-Pierre,2017.1590338370743
Islam Makhachev,2009.060406057528
Belal Muhammad,1987.5300952854275
Khabib Nurmagomedov,1966.8320748219166
Kamaru Usman,1951.547931725041
Merab Dvalishvili,1949.3245054191855
Francis Ngannou,1948.065591187662
Max Holloway,1939.888168601542
Leon Edwards,1935.316884403129
Charles Oliveira,1924.682782343069
Alexander Volkanovski,1895.8514369554714
Stipe Miocic,1879.0044683797803
Alex Pereira,1874.5718886463924
Robert Whittaker,1873.069413656027
Dricus Du Plessis,1871.5528174204383
Magomed Ankalaev,1869.808019677061
Amanda Nunes,1866.2973325628811
Demetrious Johnson,1865.0486244421184
Ciryl Gane,1856.46702102005
Movsar Evloev,1852.2004711070076
Daniel Cormier,1845.9255449167338
Valentina Shevchenko,1844.9094986216887
Petr Yan,1843.4985029793975
Ilia Topuria,1839.1612814569366
Tom Aspinall,1837.8469787329411
Dustin Poirier,1835.6701487222858
Gegard Mousasi,1824.865196197997
Aljamain Sterling,1821.3501869850002
Sean Strickland,1820.4276510427405
Zhang Weili,1814.6448058904834
Colby Covington,1812.0886066572548
Sean O'Malley,1811.2314188224125
Alexander Volkov,1810.7448489700246
Shavkat Rakhmonov,1808.5963850330647
Arman Tsarukyan,1807.2299036655163
Anthony Johnson,1807.200086994619
Manon Fiorot,1805.9336591364029
Ryan Bader,1805.8936593897783
Deiveson Figueiredo,1804.009444205365
Israel Adesanya,1802.2481291393478
Justin Gaethje,1802.2246373652206
TJ Dillashaw,1801.422148052584
Grant Dawson,1800.1980342209638
Jan Blachowicz,1797.4128112427866
Henry Cejudo,1797.086832833164
Jose Aldo,1795.3244109705668
Alexandre Pantoja,1792.7623404421454
Cain Velasquez,1790.3790456428167
Sean Brady,1789.5708065173487
