FIGHTER1,FIGHTER2,WINNER,RATING1_BEFORE,RATING2_BEFORE,RATING1_AFTER,RATING2_AFTER,EVENT,DATE,TIME_FORMAT,ROUND,TIMESTAMP,FIGHTER1_OUTCOME,FIGHTER2_OUTCOME,TOTAL_TIME_MINUTES,TOTAL_TIME_SECONDS
Islam Makhachev,Renato Moicano,Islam Makhachev,1993.0626290402386,1752.2084612768795,2009.060406057528,1736.21068425959,UFC 311: Makhachev vs. Moicano,2025-01-18,5 Rnd (5-5-5-5-5),1,4:05,1,0,4.083333333333333,245.0
Bogdan Guskov,Billy Elekana,Bogdan Guskov,1571.8248686808035,1500.0,1603.6715442578957,1468.1533244229079,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),2,3:33,1,0,8.55,513.0
Merab Dvalishvili,Umar Nurmagomedov,Merab Dvalishvili,1924.0543323999882,1760.6558401088485,1949.3245054191855,1735.3856670896512,UFC 311: Makhachev vs. Moicano,2025-01-18,5 Rnd (5-5-5-5-5),5,5:00,1,0,25.0,1500.0
Jiri Prochazka,Jamahal Hill,Jiri Prochazka,1672.4711176952292,1710.2811952498478,1722.3490530091192,1660.4032599359577,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,3:01,1,0,13.016666666666667,781.0
Jailton Almeida,Serghei Spivac,Jailton Almeida,1733.576319186294,1691.062888464617,1773.0972804488383,1651.5419272020727,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),1,4:53,1,0,4.883333333333334,293.0
Payton Talbott,Raoni Barcelos,Raoni Barcelos,1611.773668865199,1569.29972188543,1561.2996683355348,1619.7737224150942,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Karol Rosa,Ailin Perez,Ailin Perez,1567.6849095314114,1611.202286335971,1528.2920066995607,1650.5951891678217,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Kevin Holland,Reinier de Ridder,Reinier de Ridder,1617.07930087573,1553.4622598481917,1569.8358886371134,1600.7056720868084,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),1,3:31,0,1,3.5166666666666666,211.0
Grant Dawson,Diego Ferreira,Grant Dawson,1761.234836515927,1714.3432910246938,1800.1980342209638,1675.3800933196571,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Rinya Nakamura,Muin Gafurov,Muin Gafurov,1584.2039558783622,1515.1064546250104,1530.370574493969,1568.9398360094037,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Ricky Turcios,Benardo Sopaj,Benardo Sopaj,1453.4464212562855,1455.0,1408.6476400733284,1499.798781182957,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Tagir Ulanbekov,Clayton Carpenter,Tagir Ulanbekov,1601.0778653756797,1572.3359533490386,1642.3636700254647,1531.0501486992537,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Zachary Reese,Azamat Bekoev,Azamat Bekoev,1545.0,1500.0,1494.2039558783622,1550.7960441216378,UFC 311: Makhachev vs. Moicano,2025-01-18,3 Rnd (5-5-5),1,3:04,0,1,3.066666666666667,184.0
Chris Curtis,Roman Kopylov,Roman Kopylov,1620.1761014176,1585.6931614114642,1570.7244642567778,1635.1447985722864,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,4:59,0,1,14.983333333333333,899.0
Mackenzie Dern,Amanda Ribas,Mackenzie Dern,1607.613186523873,1612.5691047044809,1648.1837189952869,1571.998572233067,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,5 Rnd (5-5-5-5-5),3,4:56,1,0,14.933333333333334,896.0
Santiago Ponzinibbio,Carlston Harris,Santiago Ponzinibbio,1677.8996699289694,1581.0044019120896,1710.6653101937338,1548.2387616473252,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,3:13,1,0,13.216666666666667,793.0
Cesar Almeida,Abdul Razak Alhassan,Cesar Almeida,1564.8449031837756,1499.7894053308721,1601.5160003648627,1463.118308149785,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),1,4:16,1,0,4.266666666666667,256.0
Christian Rodriguez,Austin Bashi,Christian Rodriguez,1572.2006000152344,1500.0,1607.9814773852495,1464.219122629985,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Punahele Soriano,Uros Medic,Punahele Soriano,1505.1283053953034,1604.2169670933604,1562.6253014191796,1546.7199710694842,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),1,0:31,1,0,0.5166666666666667,31.0
Jose Johnson,Felipe Bunes,Felipe Bunes,1467.1612636547904,1462.3205436696448,1426.6039912297938,1502.8778160946415,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),1,2:04,0,1,2.066666666666667,124.0
Magomed Gadzhiyasulov,Bruno Lopes,Bruno Lopes,1521.7799754879788,1500.0,1473.9627135233284,1547.8172619646505,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Thiago Moises,Trey Ogden,Thiago Moises,1571.6707234622759,1569.6052324626166,1616.4032033696976,1524.872752555195,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Preston Parsons,Jacobe Smith,Jacobe Smith,1505.9583201960527,1500.0,1460.1866717590165,1545.7716484370362,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),1,1:13,0,1,1.2166666666666666,73.0
Ernesta Kareckaite,Nicolle Caliari,Ernesta Kareckaite,1455.0,1500.0,1477.5760196096169,1477.4239803903831,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Fatima Kline,Viktoriia Dudakova,Fatima Kline,1465.6168644889522,1508.255720902834,1516.1119068807354,1457.7606785110506,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),2,4:27,1,0,9.45,567.0
